"Time","Lap","GPS_Update","GPS_Delay","Accuracy (m)","Latitude","Longitude","Altitude (m)","Speed (KM/H)","Heading","Accel X","Accel Y","Accel Z"
0.000,0,1,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.012,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.113,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.113,0,1,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.168,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.228,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.289,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.350,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.410,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.470,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,0.00,0.00,-0.00
0.531,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,0.00,0.00,-0.00
0.592,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.653,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,0.00,0.00,-0.00
0.713,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,0.00,0.00,-0.00
0.773,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
0.835,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,0.00,0.00,-0.00
0.894,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,0.00,0.00,-0.00
0.956,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,-0.00,0.00,-0.00
1.016,0,0,0.000,13.0,-34.8394436,149.6849218,672,0.0,0.0,0.00,0.00,-0.00
1.040,0,1,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.096,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.157,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.217,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.278,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.338,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
1.398,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
1.460,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.521,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.581,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
1.628,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.01,-0.00
1.682,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.01,-0.00
1.744,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
1.803,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
1.864,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,-0.00,0.00,-0.00
1.924,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
1.985,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
2.033,0,0,0.000,13.0,-34.8394435,149.6849218,673,0.0,0.0,0.00,0.00,-0.00
2.041,0,1,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,-0.00,0.00,-0.01
2.105,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
2.166,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
2.227,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,-0.00,0.00,-0.01
2.287,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
2.348,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.01
2.409,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,-0.00,0.00,-0.00
2.469,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
2.532,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
2.594,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,-0.00,0.00,-0.00
2.653,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
2.711,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
2.774,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.01,-0.00
2.951,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
3.008,0,0,0.000,13.0,-34.8394435,149.6849218,674,0.0,0.0,0.00,0.00,-0.00
3.038,0,1,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.092,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.01,-0.00
3.149,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.211,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.01,-0.00
3.272,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.319,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.373,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.433,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.483,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.534,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.594,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.655,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.721,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.779,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.839,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
3.899,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,-0.00,0.00,-0.00
3.958,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.018,0,0,0.000,13.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.053,0,1,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.102,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.159,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.220,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,-0.00,0.00,-0.00
4.281,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,-0.00,0.00,-0.00
4.342,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,-0.00,0.00,-0.00
4.402,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,-0.00,0.00,-0.00
4.462,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.527,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,-0.00,0.00,-0.00
4.584,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,-0.00,0.00,-0.00
4.643,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.704,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.766,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.826,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.889,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
4.947,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
5.008,0,0,0.000,14.0,-34.8394435,149.6849217,674,0.0,0.0,0.00,0.00,-0.00
5.037,0,1,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.090,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.148,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.209,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.270,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.330,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.396,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.452,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.511,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.574,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,-0.00,0.00,-0.00
5.633,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.679,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.01
5.733,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.799,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.01
5.855,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.01
5.915,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.00
5.984,0,0,0.000,14.0,-34.8394435,149.6849216,674,0.0,0.0,0.00,0.00,-0.01
6.049,0,1,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.00
6.152,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,-0.00,0.00,-0.01
6.216,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,-0.00,0.00,-0.01
6.274,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.01
6.333,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,-0.00,0.00,-0.01
6.396,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.01
6.455,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.01
6.516,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,-0.00,0.00,-0.00
6.578,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.00
6.638,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.00
6.687,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.00
6.737,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,-0.00,0.00,-0.00
6.798,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.00
6.860,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,0.00,0.00,-0.00
6.919,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,-0.00,0.00,-0.00
6.980,0,0,0.000,13.0,-34.8394435,149.6849216,675,0.0,0.0,-0.00,0.00,-0.00
